date,equity,drawdown,bench_equity,relative_equity
1970-10-23,0.999,0.0,0.9920987960720626,1.006956166014172
1970-10-30,0.9938257008221559,-0.005179478656500591,0.9851046290097312,1.008852939632607
1970-11-06,1.0084250372789454,0.0,0.998923500796088,1.0095117759020438
1970-11-13,0.996350116007133,-0.011974039542289039,0.988263864800477,1.0081822795456439
1970-11-20,0.9981790964613452,-0.010160339577889754,0.9909427355815057,1.0073025015674524
1970-11-27,1.027325014742967,0.0,1.0181678625050379,1.0089937549348684
1970-12-04,1.0698596496371795,0.0,1.0621174905471715,1.007289362202311
1970-12-11,1.0782668212302846,0.0,1.0713707256171725,1.0064367034194812
1970-12-18,1.079870633271899,0.0,1.0709612019125154,1.008319098155445
1970-12-25,1.0844054642412382,0.0,1.0787159817682324,1.0052743099844312
1971-01-01,1.10252921752589,0.0,1.0980875158205254,1.0040449432685206
1971-01-08,1.111610061643125,0.0,1.1045999917842328,1.0063462519563928
1971-01-15,1.1370571356506982,0.0,1.1207280990878632,1.014570025125742
1971-01-22,1.1579112721128861,0.0,1.1424289813578883,1.0135520815802446
1971-01-29,1.1718360929591218,0.0,1.1552933253767392,1.014319105995863
1971-02-05,1.1939176765186006,0.0,1.174908631771424,1.0161791685184205
1971-02-12,1.2230990183487724,0.0,1.1939630328082993,1.0244027534687927
1971-02-19,1.2032838124785634,-0.016200819044855597,1.1729971089991493,1.0258199302002167
1971-02-26,1.2025522740474166,-0.016798921422645496,1.1748080820664355,1.0236159355766266
1971-03-05,1.2362889666244652,0.0,1.2047341910785716,1.0261923134410615
1971-03-12,1.2441066418170004,0.0,1.2132647175102937,1.02542060595811
1971-03-19,1.2599750437027823,0.0,1.2327631283116178,1.0220739205823213
1971-03-26,1.2466813865176478,-0.010550730549445997,1.2223751725229706,1.0198844140007437
1971-04-02,1.2554384432671555,-0.0036005478507692423,1.2312743273373692,1.0196252901512544
1971-04-09,1.2716736742053087,0.0,1.2482823520372623,1.0187388070734722
1971-04-16,1.2925868525328643,0.0,1.264154083360539,1.0224915376587178
1971-04-23,1.303312535160399,0.0,1.2698148562746294,1.0263799708439738
1971-04-30,1.3071352959883866,0.0,1.268648051854005,1.030337211394552
1971-05-07,1.294074768030584,-0.00999171852973868,1.2574645265351196,1.0291143334248498
1971-05-14,1.2891086003674708,-0.01379099445653409,1.2514004567268724,1.0301327552166848
1971-05-21,1.267864830794269,-0.030043152621338498,1.2355868322291614,1.0261236181247366
1971-05-28,1.2555007525725728,-0.03950206499226272,1.2222574208159966,1.0271983063390873
1971-06-04,1.2838094544132794,-0.017845009347306595,1.245980577914662,1.030360727261038
1971-06-11,1.273661915493025,-0.025608198782552716,1.2422620171893435,1.0252763892554044
1971-06-18,1.2424876108004093,-0.04945753158558408,1.216342642624988,1.0214947394420029
1971-06-25,1.2321170780766058,-0.057391318360090704,1.2050185368135637,1.0224880700463737
1971-07-02,1.25681242872165,-0.03849859109548803,1.2291518945334732,1.0225037558915169
1971-07-09,1.2714480617819852,-0.027301867156311888,1.2433597323651335,1.022590670009412
1971-07-16,1.2585371648119186,-0.03717911322998946,1.2258379650372948,1.026674977205188
1971-07-23,1.25168398057742,-0.04242201674237345,1.2229382938299997,1.023505426964262
1971-07-30,1.1979295159369627,-0.08354588877415958,1.1773983641934371,1.017437727423369
1971-08-06,1.1811516571857883,-0.09638148337761487,1.1639438026744673,1.0147840939328698
1971-08-13,1.1955299992451813,-0.08538159522256283,1.183386665993529,1.010261509277238
1971-08-20,1.2434766900770942,-0.048700854537905514,1.214831308087324,1.0235797199159038
1971-08-27,1.2688122080595803,-0.029318378936304734,1.2406169035246497,1.0227268421499227
1971-09-03,1.276676397098981,-0.023302024651070452,1.2452711869412227,1.0252195750508766
