ticker,entry_date,exit_date,entry_px,exit_px,gross_return,net_return,exit_reason
ABA,1970-10-23,1971-07-23,111.55557250976562,131.0925750732422,0.1751324664822664,0.1731324664822664,trailing_stop
AHC,1970-10-23,1971-08-20,149.16241455078125,194.9918975830078,0.3072455160386549,0.3052455160386549,trailing_stop
ANG,1970-10-23,1971-08-20,138.97308349609375,124.76911926269533,-0.1022065847290326,-0.1042065847290326,trailing_stop
ARA,1970-10-23,1972-10-13,93.08090209960938,125.00090789794922,0.3429275509618616,0.3409275509618616,trailing_stop
ASA,1970-10-23,1971-10-22,174.253662109375,144.724853515625,-0.1694587547618681,-0.1714587547618681,trailing_stop
ASR,1970-10-23,1971-08-20,145.41392517089844,166.10513305664062,0.1422917912533119,0.1402917912533119,trailing_stop
BKO,1970-10-23,1971-11-12,105.52595520019533,181.27880859375,0.7178599165470001,0.7158599165470001,trailing_stop
CCK,1970-10-23,1971-08-20,99.27007293701172,113.86884307861328,0.1470611404795148,0.1450611404795148,trailing_stop
CH,1970-10-23,1971-10-29,71.77478790283203,123.4359359741211,0.7197673386541719,0.7177673386541719,trailing_stop
COX,1970-10-23,1971-11-05,77.09270477294922,135.2757110595703,0.7547148132625479,0.7527148132625479,trailing_stop
CRK,1970-10-23,1971-07-16,182.28472900390625,175.47789001464844,-0.0373417950392978,-0.0393417950392978,trailing_stop
DM,1970-10-23,1971-10-22,139.35794067382812,126.98726654052734,-0.0887690652824352,-0.0907690652824352,trailing_stop
EXC,1970-10-23,1973-03-09,90.6880340576172,135.86752319335938,0.4981857816769754,0.4961857816769754,trailing_stop
HM,1970-10-23,1971-01-01,159.81163024902344,139.1176300048828,-0.1294899514628228,-0.1314899514628228,trailing_stop
HW,1970-10-23,1971-06-11,85.16571044921875,79.8739242553711,-0.0621351734863171,-0.0641351734863171,trailing_stop
JOL,1970-10-23,1972-06-02,94.4989013671875,116.88768768310548,0.2369211280978123,0.2349211280978123,trailing_stop
JWL,1970-10-23,1971-08-20,115.99478912353516,131.80455017089844,0.1362971661642988,0.1342971661642988,trailing_stop
KFM,1970-10-23,1971-06-04,99.75289916992188,128.43199157714844,0.2875013422755141,0.2855013422755141,trailing_stop
KG,1970-10-23,1972-10-27,96.82530212402344,251.62408447265625,1.5987430862890697,1.5967430862890697,trailing_stop
KNY,1970-10-23,1971-11-26,160.8200225830078,290.1015319824219,0.8038893871730739,0.8018893871730739,trailing_stop
KW,1970-10-23,1971-08-20,93.170166015625,173.8535614013672,0.8659788732394367,0.8639788732394367,trailing_stop
LSG,1970-10-23,1971-11-05,136.4874725341797,147.1431121826172,0.0780704591461247,0.0760704591461247,trailing_stop
